location_hash,location_file,location_start_line,location_start_column,location_end_line,location_end_column,warning_in_target_file,warning_in_target_function,warning_in_target_code_block,warning_rule_id,warning_rule_name,warning_message,warning_weakness,warning_severity
4b6c6fa7a600f37af4b535a554aa214dd0cd0190223bb8e31a79f869179d8e88,libarchive/archive_read_support_format_rar.c,170,3,-1,15,True,False,False,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
2d3001f2cfc3d1143ac932481337b7ea4225ef9168c6b6f9e8cebff707dbe5af,libarchive/archive_read_support_format_rar.c,172,3,-1,17,True,False,False,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
acaed02c63eab7596bac8a337eb54d53116753cb9bdf710d78ec2c8f6d485000,libarchive/archive_read_support_format_rar.c,173,3,-1,16,True,False,False,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
ada2539ccec3d3aee66406b8383272bf1f634d3f03195ff2266cc5d50e1341b1,libarchive/archive_read_support_format_rar.c,179,3,-1,21,True,False,False,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
adaa7a7bb43342e7b4aa2148d536c11c66b0a6865c22bcd172e8f2ffefde07cc,libarchive/archive_read_support_format_rar.c,180,3,-1,20,True,False,False,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
4d2d632c8746665d04fd83321aba832a819700250da5d5619b0bcefe5fc2cacb,libarchive/archive_read_support_format_rar.c,182,3,-1,20,True,False,False,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
32010ff5626ff211d4ebcbfb9379285956e8ff9465078be3f2cfd295f4b9b7f1,libarchive/archive_read_support_format_rar.c,183,3,-1,21,True,False,False,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
ae35a20afbf77766548ac0b0646939923dcb5a98f25dfa10b7d193d16b497aa5,libarchive/archive_read_support_format_rar.c,186,3,-1,21,True,False,False,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
f2dfac1d3297feaf34f6d7e1808196d5352c14bfc6d299c8eb64a1bfd64f48c7,libarchive/archive_read_support_format_rar.c,187,3,-1,21,True,False,False,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
dca0821cd7ce72f33b9e7716571ec763fd02b0c19baf163fc69ff1a5e41adecd,libarchive/archive_read_support_format_rar.c,294,3,-1,21,True,False,False,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
07cd1e3d18a45dd95d04c93c7ff516b64c6dd29cab39374fb2cca39ff17d0a22,libarchive/archive_read_support_format_rar.c,295,3,-1,21,True,False,False,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
985bb6c0049a7f3396de23bdb3ab77f116309c14cf83c6dd95ce680d1459e36d,libarchive/archive_read_support_format_rar.c,312,3,-1,16,True,False,False,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
62aaaa0702aad3c371c2e2591a1e0dabb71b18a2bb7aafbf7c24b57d969ea2c1,libarchive/archive_read_support_format_rar.c,347,12,-1,49,True,False,False,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
adf373ed72475d774fa5e1409bee0d9fd8be1c4fc1af53f42bf731e785348977,libarchive/archive_read_support_format_rar.c,696,7,-1,23,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
135d02cd88022a55f787b70ab3a086d5e8645a5db3b35e09990fbe0ede15779f,libarchive/archive_read_support_format_rar.c,1366,3,-1,23,True,False,False,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
7f16c7a05af1ed5cf58b29bef29426627087339907663060ecc09fdeffd3a3a6,libarchive/archive_read_support_format_rar.c,1367,3,-1,20,True,False,False,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
f6e788a476b1d89e9eae17847c293b85c483f43c8c60be850998cd10f43beb7d,libarchive/archive_read_support_format_rar.c,1466,5,-1,51,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
25e5a61ec7b01ea949cf6901d3247358c457db82f924c3fd0140bf85c10fa46b,libarchive/archive_read_support_format_rar.c,1467,5,-1,56,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
bf4e69c8ce1d3ad5d1eeacb783b14e486ff276ec4c2f71f2a69eca37a183fe7f,libarchive/archive_read_support_format_rar.c,1469,5,-1,47,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
c04b2cb6f852a1d549fd1b251295d30a6a7d30cc758d0c2cb676b21584593e8a,libarchive/archive_read_support_format_rar.c,1470,5,-1,55,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
c76ccba706b3ac1a442fd83bb0cabe7faf8c879d7444354e1da4c42a5e14f2b2,libarchive/archive_read_support_format_rar.c,1523,3,-1,38,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
37921b71a6d75a7d2ca95a838ef762179dcf09056a47d78e2b4d32cae9712072,libarchive/archive_read_support_format_rar.c,1527,26,-1,43,True,False,False,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
fde0912e6902fab6c5b8b0e9d1a7e21d1b9c4451dc8514e040945fb4dffbd6a7,libarchive/archive_read_support_format_rar.c,1535,26,-1,47,True,False,False,FF1022,buffer/strlen,buffer/strlen:Does not handle strings that are not \0-terminated; if given one it may perform an over-read (it could cause a crash if unprotected) (CWE-126).,CWE-126,LOW
7693f48fbc137efb618447cd236d7d6120883a62648dccc52872a3f2598aa84f,libarchive/archive_read_support_format_rar.c,1677,3,-1,64,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
ec6b1d8fbcc975e398e19fab6258ae85c71c5c7d68a7439910abbba8f1cabc6e,libarchive/archive_read_support_format_rar.c,1700,5,-1,29,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
4fbbb3b14537ff23f7a16aa228d326724fd00683d6a7234d7d17b0a157f90567,libarchive/archive_read_support_format_rar.c,2227,12,-1,64,True,False,False,FF1013,buffer/char,"buffer/char:Statically-sized arrays can be improperly restricted, leading to potential overflows or other issues (CWE-119!/CWE-120).","CWE-119,CWE-120",LOW
df618c19ecc5c45bd1bc6b6224bf53e02167be08beec9e055f2736cb1b6df7e2,libarchive/archive_read_support_format_rar.c,3073,5,-1,62,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
e9956852d8fcf976827e0be179a8ce8521389826bec3549f9f2dff92653fbb67,libarchive/archive_read_support_format_rar.c,3074,5,-1,62,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
7b449b747290647bf91f398bffb4e1422e50f062325c259624751455822c80e9,libarchive/archive_read_support_format_rar.c,3076,5,-1,59,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
208c9ac56c7ce6a5e65ad81bb91dd27c9b809699d2ca1cbe2e59981a44206c51,libarchive/archive_read_support_format_rar.c,3100,5,-1,77,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
028dc940a063352b6acb83c3a335566befb89a3e8b015a9c6043c3c9f82c1091,libarchive/archive_read_support_format_rar.c,3110,7,-1,48,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
996d40c3c8d588f8706afd078a71dcda3fc58286dd11c474e2dedaa6cc860ea9,libarchive/archive_read_support_format_rar.c,3112,7,-1,60,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
028dc940a063352b6acb83c3a335566befb89a3e8b015a9c6043c3c9f82c1091,libarchive/archive_read_support_format_rar.c,3115,7,-1,48,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
ee74f2b212a452bf0a11c310cab7569a44716b99c3c84e99652b6a75df3a6e8b,libarchive/archive_read_support_format_rar.c,3316,5,-1,59,True,False,False,FF1004,buffer/memcpy,buffer/memcpy:Does not check for buffer overflows when copying to destination (CWE-120).,CWE-120,LOW
